epoch,loss
1,2.4777562618255615
2,2.34625506401062
3,2.317758321762085
4,2.306494951248169
5,2.302035331726074
6,2.3007760047912598
7,2.2976489067077637
8,2.294522285461426
9,2.2934350967407227
10,2.292536973953247
11,2.2846415042877197
12,2.283284902572632
13,2.2824790477752686
14,2.2817888259887695
15,2.27761173248291
16,2.2729835510253906
17,2.272188186645508
18,2.2714896202087402
19,2.2710840702056885
20,2.270859956741333
21,2.270336866378784
22,2.2691500186920166
23,2.2687833309173584
24,2.2683475017547607
25,2.265716791152954
26,2.2619411945343018
27,2.261631965637207
28,2.2614619731903076
29,2.261327028274536
30,2.261322498321533
31,2.2611243724823
32,2.261004686355591
33,2.260777473449707
34,2.260629177093506
35,2.2605233192443848
36,2.2605175971984863
37,2.2603909969329834
38,2.260317325592041
39,2.260310411453247
40,2.260270357131958
41,2.26025390625
42,2.2602593898773193
43,2.260042667388916
44,2.258976459503174
45,2.258619785308838
46,2.25840425491333
47,2.2582898139953613
48,2.2582647800445557
49,2.25831937789917
50,2.258260488510132
