epoch,f1_score
1,0.20585258305072784
2,0.603780210018158
3,0.7704713344573975
4,0.8067371249198914
5,0.8250783085823059
6,0.8290698528289795
7,0.8332780599594116
8,0.8486476540565491
9,0.8516521453857422
10,0.8555842041969299
11,0.8802704215049744
12,0.8862664103507996
13,0.8881733417510986
14,0.8902422189712524
15,0.8969787359237671
16,0.9183951020240784
17,0.9201083779335022
18,0.9237227439880371
19,0.9241715669631958
20,0.9258785843849182
21,0.9255805015563965
22,0.9302254319190979
23,0.9308002591133118
24,0.9320980906486511
25,0.9355183243751526
26,0.9546173810958862
27,0.9548635482788086
28,0.9564086198806763
29,0.9552338123321533
30,0.9559255242347717
31,0.9559129476547241
32,0.9569831490516663
33,0.9564695954322815
34,0.9564751386642456
35,0.958175778388977
36,0.9578897953033447
37,0.9582269191741943
38,0.9583993554115295
39,0.9584771990776062
40,0.9585498571395874
41,0.9581005573272705
42,0.9589715003967285
43,0.9585585594177246
44,0.9616391062736511
45,0.9651249051094055
46,0.9649195671081543
47,0.9653345942497253
48,0.9650711417198181
49,0.9646241664886475
50,0.9656131267547607
