epoch,loss
1,2.405221939086914
2,2.3159146308898926
3,2.311631917953491
4,2.3100075721740723
5,2.3022000789642334
6,2.300489664077759
7,2.29879093170166
8,2.2930045127868652
9,2.2910938262939453
10,2.2876648902893066
11,2.281780481338501
12,2.2806649208068848
13,2.2801005840301514
14,2.2790918350219727
15,2.2778773307800293
16,2.277353048324585
17,2.2762415409088135
18,2.268970251083374
19,2.267934560775757
20,2.2675185203552246
21,2.2672364711761475
22,2.266954183578491
23,2.266841411590576
24,2.2666585445404053
25,2.266477108001709
26,2.266181230545044
27,2.2662413120269775
28,2.265869379043579
29,2.2601685523986816
30,2.259921073913574
31,2.2599380016326904
32,2.259497880935669
33,2.2594687938690186
34,2.259300947189331
35,2.2590348720550537
36,2.258944511413574
37,2.2588376998901367
38,2.258763313293457
39,2.2587902545928955
40,2.2588207721710205
41,2.258885145187378
42,2.258861780166626
43,2.258779764175415
44,2.258640766143799
45,2.258641242980957
46,2.2584986686706543
47,2.258366584777832
48,2.258192300796509
49,2.2579379081726074
50,2.2579870223999023
