epoch,f1_score
1,0.3891168236732483
2,0.6968938112258911
3,0.7497308850288391
4,0.8116837739944458
5,0.8195946216583252
6,0.8213194012641907
7,0.8245391845703125
8,0.8558014035224915
9,0.8959610462188721
10,0.9039098024368286
11,0.9162087440490723
12,0.91804438829422
13,0.9199396967887878
14,0.920295000076294
15,0.9274115562438965
16,0.9293797612190247
17,0.9303690195083618
18,0.9324847459793091
19,0.933738112449646
20,0.9338944554328918
21,0.9348105788230896
22,0.9377405643463135
23,0.9359309673309326
24,0.9364426136016846
25,0.9365363121032715
26,0.937873899936676
27,0.9376544952392578
28,0.9367825388908386
29,0.9389835596084595
30,0.9387317299842834
31,0.9390488862991333
32,0.9389553666114807
33,0.9387459754943848
34,0.9391511082649231
35,0.9415016770362854
36,0.9441981911659241
37,0.9444446563720703
38,0.9446996450424194
39,0.9446673393249512
40,0.9436354637145996
41,0.9450247883796692
42,0.9499183297157288
43,0.9653167724609375
44,0.9660630226135254
45,0.965440571308136
46,0.9658240079879761
47,0.9664612412452698
48,0.9660972952842712
49,0.9666080474853516
50,0.9667729735374451
