epoch,loss
1,2.3981409072875977
2,2.322047710418701
3,2.3163063526153564
4,2.3088436126708984
5,2.3029747009277344
6,2.3005754947662354
7,2.297833204269409
8,2.2941818237304688
9,2.286137580871582
10,2.283954381942749
11,2.2762880325317383
12,2.274062395095825
13,2.273207902908325
14,2.2724220752716064
15,2.271777629852295
16,2.2707090377807617
17,2.269916534423828
18,2.26920747756958
19,2.2687394618988037
20,2.2679226398468018
21,2.2673068046569824
22,2.266996145248413
23,2.2668375968933105
24,2.2667293548583984
25,2.2666468620300293
26,2.2666478157043457
27,2.2665910720825195
28,2.2652029991149902
29,2.2603485584259033
30,2.260253429412842
31,2.260138750076294
32,2.2598841190338135
33,2.2597827911376953
34,2.2596004009246826
35,2.2595369815826416
36,2.259194850921631
37,2.259256601333618
38,2.259117841720581
39,2.2586653232574463
40,2.2582828998565674
41,2.25803279876709
42,2.2579143047332764
43,2.2577362060546875
44,2.257629871368408
45,2.2575738430023193
46,2.2576143741607666
47,2.257617235183716
48,2.25766658782959
49,2.2577459812164307
50,2.257807970046997
