epoch,f1_score
1,0.381330281496048
2,0.7463992238044739
3,0.7943556308746338
4,0.8015375137329102
5,0.8285863399505615
6,0.8306982517242432
7,0.8320897221565247
8,0.8639461398124695
9,0.8894438743591309
10,0.9180309176445007
11,0.9216650128364563
12,0.9240126013755798
13,0.9263100624084473
14,0.925732433795929
15,0.926754355430603
16,0.931734025478363
17,0.9349238872528076
18,0.9371475577354431
19,0.9357986450195312
20,0.9352534413337708
21,0.9375116229057312
22,0.9390014410018921
23,0.9390415549278259
24,0.9400254487991333
25,0.9397226572036743
26,0.9402816891670227
27,0.9428294897079468
28,0.9414328336715698
29,0.9414653182029724
30,0.9408904314041138
31,0.9432122111320496
32,0.9436864256858826
33,0.9445329308509827
34,0.9566013216972351
35,0.9646148681640625
36,0.9660325646400452
37,0.9651716947555542
38,0.964573085308075
39,0.965972363948822
40,0.9660647511482239
41,0.9648231863975525
42,0.966866672039032
43,0.9675016403198242
44,0.9680138826370239
45,0.9685300588607788
46,0.9690383672714233
47,0.9688889384269714
48,0.9689451456069946
49,0.9684173464775085
50,0.9687642455101013
