epoch,loss
1,2.4176292419433594
2,2.3272554874420166
3,2.31231951713562
4,2.3083083629608154
5,2.3022546768188477
6,2.297882080078125
7,2.296938180923462
8,2.292268753051758
9,2.2839150428771973
10,2.281789541244507
11,2.2809369564056396
12,2.28035831451416
13,2.279695749282837
14,2.279083728790283
15,2.2785112857818604
16,2.278042793273926
17,2.278038740158081
18,2.277691602706909
19,2.2771785259246826
20,2.276873826980591
21,2.27616810798645
22,2.2753939628601074
23,2.2749311923980713
24,2.2734248638153076
25,2.265744686126709
26,2.2652394771575928
27,2.265169620513916
28,2.2647666931152344
29,2.264319658279419
30,2.264080286026001
31,2.263896942138672
32,2.263692855834961
33,2.2634825706481934
34,2.2635064125061035
35,2.2587151527404785
36,2.257493495941162
37,2.257290840148926
38,2.257253885269165
39,2.257220983505249
40,2.2571017742156982
41,2.257124662399292
42,2.2570552825927734
43,2.2569379806518555
44,2.256889581680298
45,2.2568893432617188
46,2.256821393966675
47,2.256831645965576
48,2.256795883178711
49,2.2565765380859375
50,2.2565176486968994
