epoch,loss
1,2.445279598236084
2,2.3311963081359863
3,2.3096559047698975
4,2.3080790042877197
5,2.3025474548339844
6,2.297395706176758
7,2.2930710315704346
8,2.286496162414551
9,2.282130718231201
10,2.2811059951782227
11,2.28047251701355
12,2.2800040245056152
13,2.279550313949585
14,2.279184103012085
15,2.278761863708496
16,2.2784409523010254
17,2.2763900756835938
18,2.268855333328247
19,2.2677814960479736
20,2.2673702239990234
21,2.2669832706451416
22,2.2659523487091064
23,2.2656466960906982
24,2.2654242515563965
25,2.2651705741882324
26,2.2649216651916504
27,2.2648067474365234
28,2.2645421028137207
29,2.2641334533691406
30,2.2641446590423584
31,2.2640585899353027
32,2.262411117553711
33,2.2577872276306152
34,2.2574663162231445
35,2.257281541824341
36,2.2571558952331543
37,2.257134199142456
38,2.2569997310638428
39,2.256932497024536
40,2.256939172744751
41,2.2568633556365967
42,2.2568373680114746
43,2.256809949874878
44,2.256558418273926
45,2.2564871311187744
46,2.256218194961548
47,2.2561938762664795
48,2.256155490875244
49,2.2561123371124268
50,2.255943536758423
