epoch,loss
1,2.4071736335754395
2,2.3219478130340576
3,2.317152500152588
4,2.3070409297943115
5,2.302921772003174
6,2.295896291732788
7,2.2898170948028564
8,2.2851502895355225
9,2.283658981323242
10,2.28295636177063
11,2.2822117805480957
12,2.2816154956817627
13,2.2777531147003174
14,2.2717411518096924
15,2.2706947326660156
16,2.269807815551758
17,2.268904209136963
18,2.26808500289917
19,2.267670154571533
20,2.2674524784088135
21,2.267324209213257
22,2.2670154571533203
23,2.2667901515960693
24,2.2667300701141357
25,2.266648769378662
26,2.266727924346924
27,2.2663919925689697
28,2.265939474105835
29,2.2656376361846924
30,2.265517473220825
31,2.2655017375946045
32,2.265414237976074
33,2.2651588916778564
34,2.2651121616363525
35,2.2649407386779785
36,2.2647945880889893
37,2.2647416591644287
38,2.2637476921081543
39,2.258748769760132
40,2.2583556175231934
41,2.2585294246673584
42,2.2584683895111084
43,2.258234739303589
44,2.258129119873047
45,2.2581088542938232
46,2.2580339908599854
47,2.2580041885375977
48,2.259697198867798
49,2.260749101638794
50,2.2594544887542725
