epoch,f1_score
1,0.3147868514060974
2,0.7332297563552856
3,0.7765430212020874
4,0.816497266292572
5,0.8258036375045776
6,0.8273623585700989
7,0.8344907760620117
8,0.8629211187362671
9,0.8863191604614258
10,0.9104741215705872
11,0.9122206568717957
12,0.9166744947433472
13,0.9215235114097595
14,0.9221434593200684
15,0.9264920949935913
16,0.9283799529075623
17,0.927619457244873
18,0.9293217062950134
19,0.9310255646705627
20,0.9337177276611328
21,0.9324077367782593
22,0.9356160163879395
23,0.9358815550804138
24,0.9372912645339966
25,0.9389536380767822
26,0.9398425817489624
27,0.9570865035057068
28,0.9576352834701538
29,0.9582453370094299
30,0.9584418535232544
31,0.959969699382782
32,0.9603124260902405
33,0.9601498246192932
34,0.9597079753875732
35,0.9597249627113342
36,0.9597164988517761
37,0.9606217741966248
38,0.9619786143302917
39,0.9612633585929871
40,0.9622399806976318
41,0.9620951414108276
42,0.9618219137191772
43,0.9611877799034119
44,0.9622329473495483
45,0.9626027345657349
46,0.9618629813194275
47,0.9617874026298523
48,0.961966335773468
49,0.9630542993545532
50,0.9623742699623108
