epoch,f1_score
1,0.2503703236579895
2,0.5697281956672668
3,0.7226182222366333
4,0.7374404668807983
5,0.8075103759765625
6,0.8170009255409241
7,0.8318096995353699
8,0.8365333080291748
9,0.8515641093254089
10,0.8724659085273743
11,0.8755390644073486
12,0.892512321472168
13,0.89579838514328
14,0.8964880704879761
15,0.8986943960189819
16,0.9006730914115906
17,0.9048435091972351
18,0.9050108194351196
19,0.9090027809143066
20,0.9380496144294739
21,0.9404592514038086
22,0.9386582374572754
23,0.9399509429931641
24,0.9510206580162048
25,0.9604679942131042
26,0.9610264897346497
27,0.9618183374404907
28,0.9634424448013306
29,0.9654428362846375
30,0.9664081931114197
31,0.9666311144828796
32,0.9656075239181519
33,0.9658026099205017
34,0.9672629833221436
35,0.9672313332557678
36,0.9669291973114014
37,0.9672916531562805
38,0.9684386849403381
39,0.9690709114074707
40,0.9692842364311218
41,0.9678103923797607
42,0.9698445200920105
43,0.9694848656654358
44,0.968338668346405
45,0.9688057899475098
46,0.9688209891319275
47,0.9694432020187378
48,0.9697917699813843
49,0.9704906940460205
50,0.9694810509681702
