epoch,f1_score
1,0.2436361014842987
2,0.6628372669219971
3,0.7324517369270325
4,0.7976697683334351
5,0.8146182894706726
6,0.8244719505310059
7,0.8309317827224731
8,0.8551812767982483
9,0.8650813698768616
10,0.8770255446434021
11,0.8776698112487793
12,0.8795496821403503
13,0.91444331407547
14,0.9216455817222595
15,0.9226552248001099
16,0.9249818325042725
17,0.9265250563621521
18,0.9276042580604553
19,0.9284819960594177
20,0.9295476675033569
21,0.9293172359466553
22,0.9303117990493774
23,0.9311324954032898
24,0.9301753044128418
25,0.9338445663452148
26,0.9348884224891663
27,0.9357940554618835
28,0.9358877539634705
29,0.9376917481422424
30,0.9451206922531128
31,0.9433057904243469
32,0.9439223408699036
33,0.9454314112663269
34,0.945816159248352
35,0.9460865259170532
36,0.9461349844932556
37,0.9469369649887085
38,0.947211503982544
39,0.9480716586112976
40,0.946473240852356
41,0.9482392072677612
42,0.9459105134010315
43,0.947056233882904
44,0.9464405179023743
45,0.9479895234107971
46,0.9482570290565491
47,0.947887659072876
48,0.9487931728363037
49,0.948077380657196
50,0.9485347867012024
